researchExp,industryExp,toeflScore,internExp,greV,greQ,greA,univName,cgpa_4
0,0,109.0,6.0,154.0,160.0,3.5,Virginia Polytechnic Institute and State University,3.0816
0,0,105.0,0.0,155.0,165.0,4.0,Virginia Polytechnic Institute and State University,3.2920000000000003
0,0,107.0,0.0,154.0,165.0,3.5,Virginia Polytechnic Institute and State University,2.736842105263158
0,31,107.0,5.0,148.0,161.0,3.0,Virginia Polytechnic Institute and State University,3.576
0,92,106.0,0.0,152.0,158.0,3.5,Virginia Polytechnic Institute and State University,2.4421052631578952
0,1,113.0,1.0,157.0,167.0,5.0,Virginia Polytechnic Institute and State University,3.4600000000000004
0,8,103.0,0.0,148.0,163.0,4.0,Virginia Polytechnic Institute and State University,2.736842105263158
0,0,95.0,2.0,148.0,162.0,3.5,Virginia Polytechnic Institute and State University,3.1578947368421053
0,16,104.0,0.0,149.0,159.0,3.0,Virginia Polytechnic Institute and State University,3.64
0,0,113.0,2.0,153.0,162.0,4.0,Virginia Polytechnic Institute and State University,3.3600000000000003
0,0,111.0,0.0,152.0,158.0,3.0,Virginia Polytechnic Institute and State University,3.7
0,0,105.0,0.0,165.0,166.0,4.0,Virginia Polytechnic Institute and State University,3.04
0,0,106.0,0.0,152.0,164.0,3.5,Virginia Polytechnic Institute and State University,3.907368421052632
0,0,114.0,0.0,163.0,165.0,5.0,Virginia Polytechnic Institute and State University,3.3520000000000003
0,0,104.0,0.0,158.0,168.0,3.0,Virginia Polytechnic Institute and State University,3.4200000000000004
36,48,98.0,3.0,141.0,167.0,3.0,Virginia Polytechnic Institute and State University,3.4000000000000004
0,0,110.0,0.0,154.0,164.0,3.0,Virginia Polytechnic Institute and State University,3.268
0,24,108.0,0.0,159.0,163.0,3.0,Virginia Polytechnic Institute and State University,3.4360000000000004
0,0,114.0,0.0,159.0,169.0,4.5,Virginia Polytechnic Institute and State University,3.596
0,0,109.0,2.0,160.0,159.0,3.5,Virginia Polytechnic Institute and State University,3.389473684210526
0,0,101.0,0.0,155.0,169.0,4.0,Virginia Polytechnic Institute and State University,3.792
0,26,98.0,6.0,152.0,163.0,4.0,Virginia Polytechnic Institute and State University,3.512
0,0,100.0,0.0,150.0,166.0,4.0,Virginia Polytechnic Institute and State University,3.3284210526315783
0,0,89.0,0.0,148.0,157.0,3.0,Virginia Polytechnic Institute and State University,3.2
0,0,117.0,0.0,163.0,170.0,4.0,Virginia Polytechnic Institute and State University,2.8000000000000003
0,0,118.0,0.0,164.0,169.0,4.5,Virginia Polytechnic Institute and State University,3.5560000000000005
0,0,117.0,0.0,158.0,170.0,4.5,Virginia Polytechnic Institute and State University,3.944
0,0,109.0,0.0,157.0,160.0,3.5,Virginia Polytechnic Institute and State University,3.4526315789473685
0,0,105.0,0.0,155.0,164.0,3.5,Virginia Polytechnic Institute and State University,3.4280000000000004
12,6,105.0,9.0,158.0,170.0,4.0,Virginia Polytechnic Institute and State University,3.864
0,0,114.0,0.0,156.0,165.0,3.0,Virginia Polytechnic Institute and State University,3.712
0,0,116.0,0.0,162.0,167.0,4.5,Virginia Polytechnic Institute and State University,3.2
0,0,104.0,0.0,154.0,170.0,4.0,Virginia Polytechnic Institute and State University,3.6319999999999997
0,14,111.0,0.0,152.0,167.0,3.0,Virginia Polytechnic Institute and State University,2.863157894736842
0,0,107.0,0.0,161.0,166.0,4.5,Virginia Polytechnic Institute and State University,3.6880000000000006
0,0,104.0,0.0,153.0,170.0,3.5,Virginia Polytechnic Institute and State University,3.1157894736842113
0,0,117.0,0.0,161.0,159.0,4.0,Virginia Polytechnic Institute and State University,3.372
0,0,105.0,0.0,155.0,163.0,3.5,Virginia Polytechnic Institute and State University,3.248
0,31,95.0,0.0,148.0,155.0,3.0,Virginia Polytechnic Institute and State University,3.4840000000000004
0,0,105.0,0.0,162.0,168.0,5.0,Virginia Polytechnic Institute and State University,3.6880000000000006
0,0,115.0,0.0,156.0,170.0,4.0,Virginia Polytechnic Institute and State University,3.844
48,18,113.0,0.0,160.0,170.0,3.0,Virginia Polytechnic Institute and State University,3.4000000000000004
0,0,118.0,0.0,160.0,161.0,5.0,Virginia Polytechnic Institute and State University,3.68
0,0,97.0,0.0,148.0,168.0,3.5,Virginia Polytechnic Institute and State University,3.5240000000000005
0,0,113.0,0.0,161.0,170.0,4.0,Virginia Polytechnic Institute and State University,3.3414736842105266
0,0,110.0,0.0,165.0,166.0,3.5,Virginia Polytechnic Institute and State University,2.9600000000000004
0,0,119.0,0.0,169.0,166.0,4.5,Virginia Polytechnic Institute and State University,3.4000000000000004
0,0,104.0,0.0,151.0,170.0,3.0,Virginia Polytechnic Institute and State University,3.3280000000000003
0,0,114.0,0.0,163.0,168.0,4.0,Virginia Polytechnic Institute and State University,3.216
0,0,107.0,0.0,150.0,169.0,4.0,Virginia Polytechnic Institute and State University,3.0
0,0,105.0,0.0,152.0,163.0,3.5,Virginia Polytechnic Institute and State University,3.48
0,0,115.0,0.0,150.0,162.0,3.5,Virginia Polytechnic Institute and State University,3.8
0,0,111.0,2.0,152.0,164.0,4.0,Virginia Polytechnic Institute and State University,3.4156
0,20,110.0,6.0,154.0,170.0,3.5,Virginia Polytechnic Institute and State University,3.18
0,20,107.0,2.0,155.0,167.0,4.0,Virginia Polytechnic Institute and State University,3.744
7,24,112.0,6.0,156.0,165.0,4.0,Virginia Polytechnic Institute and State University,3.6840000000000006
0,0,106.0,0.0,157.0,165.0,3.5,Virginia Polytechnic Institute and State University,3.2
0,0,113.0,0.0,164.0,170.0,4.0,Virginia Polytechnic Institute and State University,3.4560000000000004
0,0,116.0,0.0,160.0,164.0,4.0,Virginia Polytechnic Institute and State University,3.572
0,0,93.0,0.0,145.0,158.0,3.5,Virginia Polytechnic Institute and State University,3.3360000000000003
0,0,108.0,0.0,156.0,170.0,3.0,Virginia Polytechnic Institute and State University,3.448
0,24,113.0,2.0,159.0,170.0,4.0,University of Wisconsin Madison,3.08
12,24,111.0,4.0,158.0,170.0,4.5,University of Wisconsin Madison,3.648
0,0,117.0,0.0,160.0,170.0,5.5,University of Wisconsin Madison,3.828
0,0,111.0,0.0,154.0,161.0,3.5,University of Wisconsin Madison,3.512
9,0,106.0,3.0,157.0,165.0,4.0,University of Wisconsin Madison,3.2200000000000006
2,0,118.0,4.0,160.0,168.0,4.0,University of Wisconsin Madison,3.796
0,0,106.0,0.0,147.0,163.0,3.5,University of Wisconsin Madison,3.6039999999999996
0,0,118.0,0.0,167.0,168.0,5.5,University of Wisconsin Madison,3.7319999999999998
0,0,118.0,0.0,164.0,169.0,4.0,University of Wisconsin Madison,3.612
0,36,107.0,2.0,155.0,164.0,4.0,University of Wisconsin Madison,3.768
0,0,108.0,0.0,161.0,167.0,4.0,University of Wisconsin Madison,3.236
0,0,109.0,0.0,155.0,163.0,3.0,University of Wisconsin Madison,3.4560000000000004
6,24,114.0,12.0,166.0,170.0,4.5,University of Wisconsin Madison,3.78
0,0,115.0,0.0,159.0,163.0,4.5,University of Wisconsin Madison,3.628
0,0,117.0,0.0,156.0,161.0,4.0,University of Wisconsin Madison,3.412
0,0,112.0,0.0,158.0,168.0,5.0,University of Wisconsin Madison,3.6
0,0,110.0,0.0,153.0,166.0,4.5,University of Wisconsin Madison,3.28
0,0,112.0,0.0,161.0,170.0,3.5,University of Wisconsin Madison,3.824
0,0,113.0,0.0,154.0,166.0,3.5,University of Wisconsin Madison,3.8
0,0,112.0,0.0,156.0,162.0,4.0,University of Wisconsin Madison,3.828
0,0,113.0,0.0,159.0,169.0,3.0,University of Wisconsin Madison,3.6919999999999997
0,0,100.0,0.0,148.0,161.0,3.5,University of Wisconsin Madison,3.48
0,0,95.0,0.0,143.0,162.0,3.0,University of Wisconsin Madison,3.108
0,0,111.0,0.0,159.0,163.0,5.0,University of Wisconsin Madison,3.728
0,0,108.0,0.0,152.0,162.0,4.0,University of Wisconsin Madison,3.68
0,0,105.0,0.0,154.0,168.0,3.5,University of Wisconsin Madison,3.772
0,0,108.0,0.0,152.0,168.0,4.0,University of Wisconsin Madison,3.3160000000000003
0,34,105.0,1.0,153.0,170.0,3.5,University of Wisconsin Madison,3.108
6,12,105.0,6.0,154.0,166.0,4.0,University of Wisconsin Madison,3.716
0,22,101.0,2.0,153.0,162.0,4.0,University of Wisconsin Madison,3.836
0,0,106.0,0.0,152.0,164.0,4.0,University of Wisconsin Madison,3.5
0,0,118.0,0.0,154.0,170.0,4.0,University of Wisconsin Madison,3.884
0,0,111.0,0.0,157.0,164.0,3.5,University of Wisconsin Madison,3.5840000000000005
0,34,117.0,0.0,169.0,170.0,4.5,University of Wisconsin Madison,3.6719999999999997
0,16,106.0,5.0,153.0,161.0,3.0,University of Wisconsin Madison,2.4421052631578952
0,0,110.0,0.0,159.0,167.0,5.5,University of Wisconsin Madison,3.6252631578947367
0,0,105.0,0.0,150.0,163.0,3.5,University of Wisconsin Madison,3.5317894736842113
0,0,112.0,0.0,162.0,169.0,5.0,University of Wisconsin Madison,3.6880000000000006
0,0,106.0,0.0,158.0,158.0,3.5,University of Wisconsin Madison,3.6840000000000006
0,0,116.0,0.0,162.0,164.0,4.0,University of Wisconsin Madison,3.74
0,0,113.0,0.0,158.0,166.0,4.5,University of Wisconsin Madison,3.212
0,0,110.0,0.0,145.0,170.0,4.0,University of Wisconsin Madison,3.68
0,0,109.0,0.0,161.0,164.0,3.0,University of Wisconsin Madison,3.48
0,29,107.0,0.0,156.0,163.0,3.5,University of Wisconsin Madison,3.572
0,0,109.0,0.0,151.0,161.0,3.5,University of Wisconsin Madison,3.016
0,0,115.0,0.0,161.0,166.0,3.5,University of Wisconsin Madison,3.372
0,0,109.0,0.0,163.0,170.0,4.0,University of Wisconsin Madison,3.5600000000000005
0,0,118.0,0.0,170.0,169.0,5.0,University of Wisconsin Madison,3.3684210526315788
0,0,116.0,0.0,158.0,163.0,4.5,University of Wisconsin Madison,3.2960000000000003
0,41,103.0,6.0,151.0,163.0,3.0,University of Wisconsin Madison,3.3200000000000003
0,0,109.0,0.0,157.0,168.0,3.0,University of Wisconsin Madison,3.58
0,21,110.0,7.0,152.0,165.0,4.0,University of Wisconsin Madison,3.864
0,0,114.0,0.0,153.0,167.0,4.0,University of Wisconsin Madison,3.812
0,0,107.0,0.0,146.0,163.0,3.5,University of Wisconsin Madison,3.696
0,0,112.0,0.0,158.0,168.0,4.0,University of Wisconsin Madison,3.5600000000000005
0,0,112.0,0.0,159.0,170.0,3.0,University of Wisconsin Madison,3.6
0,0,99.0,0.0,151.0,162.0,4.0,University of Wisconsin Madison,3.5039999999999996
0,24,107.0,6.0,156.0,164.0,3.0,University of Wisconsin Madison,3.2760000000000002
0,17,108.0,2.0,151.0,163.0,4.5,University of Wisconsin Madison,3.76
0,0,98.0,0.0,147.0,160.0,3.0,University of Wisconsin Madison,2.736842105263158
12,36,110.0,6.0,155.0,161.0,4.0,University of Wisconsin Madison,3.705263157894737
0,0,118.0,0.0,162.0,164.0,5.0,University of Wisconsin Madison,3.8
0,0,106.0,0.0,148.0,164.0,3.0,University of Wisconsin Madison,3.716
0,0,119.0,0.0,153.0,165.0,4.0,University of Wisconsin Madison,3.7039999999999997
0,0,102.0,0.0,152.0,161.0,4.0,University of Wisconsin Madison,3.44
0,0,115.0,4.0,158.0,167.0,4.0,University of Wisconsin Madison,3.88
0,0,115.0,0.0,157.0,163.0,4.5,University of Wisconsin Madison,3.2926315789473684
0,0,115.0,0.0,158.0,164.0,4.5,University of Wisconsin Madison,3.7319999999999998
0,0,110.0,0.0,157.0,170.0,4.0,University of Wisconsin Madison,3.3240000000000003
0,0,114.0,0.0,159.0,170.0,4.0,University of Wisconsin Madison,3.621052631578948
0,0,103.0,0.0,152.0,166.0,4.0,University of Wisconsin Madison,3.64
0,0,109.0,0.0,162.0,170.0,3.5,University of Wisconsin Madison,3.327157894736842
0,0,111.0,0.0,159.0,161.0,3.5,University of Wisconsin Madison,3.6919999999999997
0,0,94.0,0.0,149.0,161.0,3.0,University of Wisconsin Madison,3.2880000000000003
0,0,118.0,0.0,165.0,168.0,5.5,University of Wisconsin Madison,3.6719999999999997
0,0,117.0,0.0,162.0,163.0,4.5,University of Wisconsin Madison,3.3136842105263162
2,3,110.0,6.0,162.0,170.0,4.0,University of Wisconsin Madison,3.772
3,22,110.0,3.0,154.0,170.0,4.0,University of Wisconsin Madison,2.9280000000000004
0,0,114.0,0.0,155.0,170.0,4.0,University of Wisconsin Madison,3.404
2,24,102.0,2.0,151.0,161.0,3.5,University of Wisconsin Madison,3.0315789473684216
0,0,102.0,0.0,151.0,170.0,4.0,University of Wisconsin Madison,3.4560000000000004
0,0,112.0,0.0,156.0,166.0,3.5,University of Wisconsin Madison,3.508
0,0,101.0,0.0,147.0,168.0,3.5,University of Wisconsin Madison,3.716
0,0,113.0,0.0,162.0,169.0,3.5,University of Wisconsin Madison,3.568
0,0,111.0,0.0,158.0,162.0,3.5,University of Wisconsin Madison,3.28
0,0,116.0,0.0,157.0,169.0,4.0,University of Wisconsin Madison,3.532
0,0,107.0,0.0,166.0,165.0,3.5,University of Wisconsin Madison,3.88
0,0,111.0,0.0,154.0,169.0,4.5,University of Wisconsin Madison,3.3684210526315788
0,0,99.0,0.0,156.0,166.0,4.0,University of Wisconsin Madison,3.5439999999999996
0,24,114.0,3.0,162.0,165.0,5.5,University of Wisconsin Madison,3.9
0,0,112.0,0.0,161.0,166.0,4.0,University of Wisconsin Madison,3.74
0,0,109.0,0.0,149.0,165.0,3.5,University of Wisconsin Madison,3.892
2,17,111.0,0.0,162.0,165.0,4.0,University of Wisconsin Madison,3.616
0,0,110.0,0.0,157.0,169.0,3.5,University of Wisconsin Madison,3.948
0,0,96.0,0.0,145.0,165.0,3.5,University of Wisconsin Madison,3.648
0,0,115.0,0.0,156.0,170.0,4.0,University of Wisconsin Madison,3.844
0,0,112.0,0.0,157.0,168.0,4.0,University of Wisconsin Madison,3.64
0,0,116.0,0.0,162.0,165.0,4.0,University of Wisconsin Madison,3.5200000000000005
0,0,113.0,0.0,161.0,170.0,4.0,University of Wisconsin Madison,3.3414736842105266
0,24,108.0,2.0,153.0,167.0,4.5,University of Wisconsin Madison,3.4160000000000004
0,0,111.0,0.0,161.0,169.0,3.5,University of Wisconsin Madison,3.4640000000000004
6,0,116.0,2.0,161.0,169.0,4.5,University of Wisconsin Madison,3.156
0,0,104.0,0.0,151.0,170.0,3.0,University of Wisconsin Madison,3.3280000000000003
0,0,113.0,0.0,158.0,165.0,3.5,University of Wisconsin Madison,3.3600000000000003
0,0,114.0,0.0,157.0,166.0,4.0,University of Wisconsin Madison,3.88
0,0,112.0,0.0,160.0,161.0,5.0,University of Wisconsin Madison,3.5920000000000005
0,0,100.0,0.0,156.0,159.0,3.0,University of Wisconsin Madison,3.188
0,0,106.0,0.0,153.0,167.0,4.5,University of Wisconsin Madison,3.708
0,0,92.0,0.0,154.0,156.0,3.5,University of Wisconsin Madison,2.8210526315789477
0,0,99.0,0.0,149.0,160.0,4.0,University of Wisconsin Madison,3.6719999999999997
0,0,102.0,0.0,159.0,164.0,3.5,University of Wisconsin Madison,3.4000000000000004
0,0,98.0,0.0,149.0,159.0,2.5,University of Wisconsin Madison,2.874105263157895
0,0,103.0,0.0,157.0,164.0,3.0,University of Wisconsin Madison,3.3640000000000003
0,0,93.0,0.0,145.0,158.0,3.5,University of Wisconsin Madison,3.3360000000000003
0,0,111.0,0.0,154.0,161.0,4.5,University of Washington,3.14
0,0,114.0,0.0,156.0,163.0,4.0,University of Washington,3.136
0,53,101.0,1.0,150.0,160.0,4.0,University of Washington,3.0526315789473686
0,0,111.0,0.0,157.0,166.0,3.5,University of Washington,3.3480000000000003
48,48,112.0,0.0,160.0,164.0,4.5,University of Washington,3.16
0,16,112.0,3.0,157.0,166.0,3.5,University of Washington,3.7520000000000007
0,0,111.0,0.0,152.0,156.0,5.0,University of Washington,3.1157894736842113
4,22,116.0,4.0,152.0,167.0,4.0,University of Washington,3.788
0,0,112.0,0.0,161.0,164.0,3.5,University of Washington,2.6526315789473687
6,0,101.0,2.0,151.0,162.0,3.5,University of Washington,3.68
0,0,108.0,0.0,157.0,168.0,4.0,University of Washington,2.6526315789473687
0,0,108.0,8.0,158.0,170.0,4.0,University of Washington,3.4240000000000004
12,0,103.0,6.0,154.0,165.0,3.5,University of Washington,3.82
0,0,99.0,0.0,150.0,160.0,3.0,University of Washington,3.2042105263157894
0,12,108.0,0.0,152.0,166.0,3.5,University of Washington,3.6520000000000006
0,0,105.0,0.0,152.0,159.0,4.0,University of Washington,2.6526315789473687
2,0,115.0,2.0,158.0,166.0,4.0,University of Washington,3.6392
0,0,108.0,0.0,149.0,169.0,3.5,University of Washington,3.2
0,0,111.0,0.0,158.0,165.0,3.5,University of Washington,2.7840000000000007
0,0,117.0,0.0,157.0,162.0,4.5,University of Washington,2.72
0,30,109.0,0.0,154.0,159.0,4.5,University of Washington,2.357894736842105
0,0,112.0,0.0,152.0,165.0,4.5,University of Washington,2.9920000000000004
0,45,102.0,2.0,148.0,167.0,4.0,University of Washington,2.9894736842105267
0,0,109.0,0.0,157.0,165.0,3.5,University of Washington,3.4105263157894736
0,0,105.0,0.0,157.0,163.0,4.0,University of Washington,2.513684210526316
0,0,108.0,0.0,154.0,165.0,4.0,University of Washington,3.1658947368421053
0,0,113.0,0.0,154.0,167.0,4.0,University of Washington,3.68
0,0,106.0,0.0,154.0,162.0,4.0,University of Washington,0.29894736842105263
0,0,107.0,0.0,149.0,158.0,4.0,University of Washington,2.522105263157895
0,0,107.0,0.0,156.0,160.0,4.0,University of Washington,2.9894736842105267
0,0,100.0,0.0,152.0,164.0,4.0,University of Washington,3.2715789473684214
0,0,100.0,0.0,154.0,163.0,4.0,University of Washington,3.74
0,20,105.0,0.0,155.0,163.0,4.0,University of Washington,3.28421052631579
0,34,111.0,4.0,154.0,162.0,4.0,University of Washington,3.4526315789473685
0,0,113.0,0.0,164.0,161.0,4.0,University of Washington,2.947368421052632
0,31,105.0,0.0,158.0,156.0,4.0,University of Washington,2.8640000000000003
0,0,116.0,0.0,167.0,168.0,4.0,University of Washington,3.0920000000000005
0,0,107.0,0.0,155.0,166.0,3.0,University of Washington,3.7520000000000007
0,22,114.0,0.0,157.0,168.0,4.0,University of Washington,3.1705263157894734
0,0,111.0,0.0,153.0,160.0,4.0,University of Washington,3.68
0,0,108.0,0.0,149.0,156.0,3.5,University of Washington,2.797894736842105
0,0,109.0,0.0,153.0,157.0,4.0,University of Washington,0.15578947368421056
0,0,110.0,0.0,159.0,159.0,4.0,University of Washington,2.863157894736842
0,0,112.0,0.0,159.0,166.0,4.5,University of Washington,3.512
0,0,113.0,0.0,160.0,159.0,4.0,University of Washington,3.2421052631578946
0,0,119.0,0.0,155.0,169.0,4.0,University of Washington,3.4526315789473685
0,53,99.0,0.0,151.0,162.0,3.5,University of Washington,2.8842105263157896
6,0,114.0,4.0,164.0,165.0,4.0,University of Washington,3.76
0,0,114.0,0.0,157.0,166.0,4.0,University of Washington,3.708
0,42,107.0,0.0,157.0,168.0,4.0,University of Washington,3.3560000000000003
0,11,117.0,0.0,156.0,164.0,4.0,University of Washington,3.0315789473684216
24,0,113.0,8.0,160.0,163.0,4.5,University of Washington,3.0315789473684216
10,0,112.0,3.0,155.0,170.0,5.0,University of Washington,3.6880000000000006
6,6,110.0,0.0,160.0,162.0,4.0,University of Washington,3.1044210526315794
0,0,117.0,0.0,164.0,166.0,4.5,University of Washington,3.268
6,0,108.0,6.0,154.0,164.0,3.5,University of Washington,3.3200000000000003
0,0,115.0,0.0,159.0,163.0,4.0,University of Washington,2.493894736842105
0,0,109.0,0.0,155.0,159.0,4.0,University of Washington,3.0315789473684216
0,0,107.0,0.0,158.0,161.0,4.0,University of Washington,3.5920000000000005
0,0,106.0,0.0,148.0,163.0,3.5,University of Washington,3.128
0,0,117.0,0.0,166.0,160.0,4.0,University of Washington,2.1894736842105265
0,0,106.0,0.0,155.0,155.0,4.0,University of Washington,2.736842105263158
0,0,102.0,0.0,150.0,160.0,3.5,University of Washington,3.1157894736842113
0,19,105.0,0.0,155.0,167.0,4.5,University of Washington,2.9031578947368426
0,0,119.0,0.0,165.0,153.0,5.5,University of Washington,3.1578947368421053
